Austin (Blue Line),Harlem/Lake (Green Line),Pulaski (Green Line),"Quincy/Wells (Brown, Orange, Purple & Pink Lines)",Davis (Purple Line),Belmont (Blue Line),Jackson (Blue Line),Sheridan (Red Line),Damen (Brown Line),Morse (Red Line),35th/Archer (Orange Line),51st (Green Line),Dempster-Skokie  (Yellow Line),Pulaski (Pink Line),"LaSalle/Van Buren (Brown, Orange, Purple & Pink Lines)",Ashland (Green & Pink Lines),Oak Park (Blue Line),Sox-35th (Red Line),"Randolph/Wabash (Brown, Green, Orange, Pink & Purple Lines)",Damen (Pink Line),Western (Blue Line - Forest Park Branch),Cumberland (Blue Line),79th (Red Line),Kedzie-Homan (Blue Line),"State/Lake (Brown, Green, Orange, Pink & Purple Lines)",Main (Purple Line),Central (Green Line),Ashland/63rd (Green Line),Indiana (Green Line),Western (Orange Line),Division (Blue Line),Grand (Red Line),Berwyn (Red Line),UIC-Halsted (Blue Line),Southport (Brown Line),Washington (Blue Line),"Clark/Lake (Blue, Brown, Green, Orange, Purple & Pink Lines)",Forest Park (Blue Line),Noyes (Purple Line),Cicero (Pink Line),Clinton (Blue Line),California (Pink Line),95th/Dan Ryan (Red Line),Merchandise Mart (Brown & Purple Lines),Racine (Blue Line),Cicero (Green Line),Grand (Blue Line),Washington (Red Line),Garfield (Green Line),Foster (Purple Line),Diversey (Brown & Purple Lines),Wilson (Red & Purple Lines),Irving Park (Blue Line),Jackson (Red Line),California (Blue Line),54th/Cermak (Pink Line),Damen (Blue Line),Kostner (Pink Line),Ridgeland (Green Line),Clark/Division (Red Line),"Madison/Wabash (Brown, Green, Orange, Pink & Purple Lines)",North/Clybourn (Red Line),Armitage (Brown & Purple Lines),Western (Blue Line - O'Hare Branch),"Adams/Wabash (Brown, Green, Orange, Pink & Purple Lines)",Dempster (Purple Line),Laramie (Green Line),Chicago (Brown & Purple Lines),Cottage Grove (Green Line),"Washington/Wells (Brown, Orange, Purple & Pink Lines)",Western (Pink Line),Harlem (Blue Line - O'Hare Branch),Granville (Red Line),Lawrence (Red Line),Central Park (Pink Line),Monroe (Blue Line),Sedgwick (Brown & Purple Lines),Illinois Medical District (Blue Line),Rosemont (Blue Line),18th (Pink Line),South Boulevard (Purple Line),"Harold Washington Library-State/Van Buren (Brown, Orange, Purple & Pink Lines)",Francisco (Brown Line),Thorndale (Red Line),O'Hare (Blue Line),"Howard (Red, Purple & Yellow Lines)",63rd (Red Line),Pulaski (Blue Line),Midway (Orange Line),Halsted (Green Line),Pulaski (Orange Line),Cicero (Blue Line),Harlem (Blue Line - Forest Park Branch),69th (Red Line),Cermak-Chinatown (Red Line),Rockwell (Brown Line),Logan Square (Blue Line),Polk (Pink Line),Kedzie (Pink Line),Linden (Purple Line),Ashland (Orange Line),Kedzie (Green Line),47th (Green Line),Monroe (Red Line),35th-Bronzeville-IIT (Green Line),Halsted (Orange Line),King Drive (Green Line),Kedzie (Orange Line),Clinton (Green & Pink Lines),Garfield (Red Line),Kedzie (Brown Line),Jarvis (Red Line),Argyle (Red Line),Wellington (Brown & Purple Lines),"Fullerton (Red, Brown & Purple Lines)",47th (Red Line),Addison (Blue Line),Central (Purple Line),Austin (Green Line),43rd (Green Line),Jefferson Park (Blue Line),Kimball (Brown Line),Loyola (Red Line),Paulina (Brown Line),"Belmont (Red, Brown & Purple Lines)",Montrose (Blue Line),LaSalle (Blue Line),Oak Park (Green Line),California (Green Line),Bryn Mawr (Red Line),"Roosevelt (Red, Orange & Green Lines)",Chicago (Blue Line),Addison (Red Line),87th (Red Line),Addison (Brown Line),Chicago (Red Line),Irving Park (Brown Line),Western (Brown Line),Harrison (Red Line),Montrose (Brown Line),Morgan (Green & Pink Lines),Homan (Green Line),Lake (Red Line),Conservatory (Green Line),Oakton-Skokie (Yellow Line),Cermak-McCormick Place (Green Line)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
