median_income,housing_median_age,total_rooms,total_bedrooms,population,households,ocean_proximity,median_house_value,high_value
8.3252,41.0,6.984126984126984,1.0238095238095237,322.0,2.5555555555555554,NEAR OCEAN,4.526,1
8.3014,21.0,6.238137082601054,0.9718804920913884,2401.0,2.109841827768014,INLAND,3.585,1
7.2574,52.0,8.288135593220339,1.073446327683616,496.0,2.8022598870056497,INLAND,3.521,1
5.6431,52.0,5.8173515981735155,1.0730593607305936,558.0,2.547945205479452,<1H OCEAN,3.413,1
3.8462,52.0,6.281853281853282,1.0810810810810811,565.0,2.1814671814671813,NEAR BAY,3.422,1
4.0368,52.0,4.761658031088083,1.1036269430051813,413.0,2.139896373056995,NEAR BAY,2.697,1
3.6591,52.0,4.9319066147859925,0.9513618677042801,1094.0,2.1284046692607004,NEAR BAY,2.992,1
3.12,52.0,4.797527047913447,1.061823802163833,1157.0,1.7882534775888717,INLAND,2.414,1
2.0804,42.0,4.294117647058823,,1206.0,2.026890756302521,<1H OCEAN,2.267,1
3.6912,52.0,4.970588235294118,0.9901960784313726,1551.0,2.172268907563025,INLAND,2.611,1
3.2031,,5.477611940298507,1.0796019900497513,910.0,2.263681592039801,NEAR BAY,2.815,1
3.2705,52.0,4.772479564032698,1.0245231607629428,1504.0,2.0490463215258856,INLAND,2.418,1
3.075,52.0,5.322649572649572,1.0128205128205128,1098.0,2.3461538461538463,INLAND,2.135,1
2.6736,52.0,4.0,1.0977011494252873,345.0,1.9827586206896552,NEAR BAY,1.913,1
1.9167,52.0,4.262903225806451,1.0096774193548388,1212.0,1.9548387096774194,NEAR BAY,1.592,0
2.125,50.0,4.242424242424242,1.071969696969697,697.0,2.640151515151515,NEAR BAY,1.4,0
2.775,52.0,5.9395770392749245,1.0483383685800605,793.0,2.395770392749245,NEAR OCEAN,1.525,0
2.1202,52.0,4.052805280528053,0.966996699669967,648.0,2.1386138613861387,<1H OCEAN,1.555,0
1.9911,50.0,5.343675417661098,1.0859188544152745,990.0,2.3627684964200477,NEAR OCEAN,1.587,0
2.6033,52.0,5.465454545454546,1.0836363636363637,690.0,2.5090909090909093,NEAR OCEAN,1.629,0
1.3578,40.0,4.524096385542169,1.108433734939759,409.0,2.463855421686747,<1H OCEAN,1.475,0
1.7135,42.0,4.478142076502732,1.0027322404371584,929.0,2.5382513661202184,NEAR BAY,1.598,0
1.725,52.0,5.096234309623431,1.1317991631799162,1015.0,2.1234309623430963,NEAR OCEAN,1.139,0
2.1806,52.0,5.193846153846154,1.0369230769230768,853.0,2.624615384615385,NEAR OCEAN,0.997,0
2.6,52.0,5.270142180094787,1.0355450236966826,1006.0,2.3838862559241707,<1H OCEAN,1.326,0
2.4038,41.0,4.495798319327731,1.0336134453781514,317.0,2.6638655462184873,INLAND,1.075,0
2.4597,49.0,4.7280334728033475,1.0209205020920502,607.0,2.5397489539748954,NEAR BAY,0.938,0
1.808,52.0,4.7808564231738035,1.0604534005037782,1102.0,2.7758186397984885,<1H OCEAN,1.055,0
1.6424,50.0,4.40169133192389,1.040169133192389,1131.0,2.3911205073995774,<1H OCEAN,1.089,0
1.6875,52.0,4.703225806451613,1.032258064516129,395.0,2.5483870967741935,NEAR BAY,1.32,0
1.9274,49.0,5.068783068783069,1.1825396825396826,863.0,2.2830687830687832,<1H OCEAN,1.223,0
1.9615,52.0,4.882086167800454,1.090702947845805,1168.0,2.6485260770975056,NEAR BAY,1.152,0
1.7969,48.0,5.737313432835821,1.2208955223880598,1026.0,3.062686567164179,NEAR BAY,1.104,0
1.375,49.0,5.0303951367781155,1.1124620060790273,754.0,2.291793313069909,INLAND,1.049,0
2.7303,51.0,4.972014925373134,1.0708955223880596,1258.0,2.3470149253731343,INLAND,1.097,0
1.4861,49.0,4.6022727272727275,1.0681818181818181,570.0,2.159090909090909,INLAND,0.972,0
1.0972,48.0,4.807486631016043,1.1550802139037433,987.0,2.6390374331550803,NEAR OCEAN,1.045,0
1.4103,52.0,3.7493796526054592,0.967741935483871,901.0,2.235732009925558,NEAR BAY,1.039,0
3.48,52.0,4.757281553398058,1.0679611650485437,689.0,2.2297734627831716,<1H OCEAN,1.914,1
2.5898,52.0,3.4942528735632186,,1377.0,1.978448275862069,NEAR OCEAN,1.76,0
2.0978,52.0,4.215189873417722,1.0607594936708862,946.0,2.3949367088607594,NEAR BAY,1.554,0
1.2852,51.0,3.7590361445783134,1.248995983935743,517.0,2.076305220883534,<1H OCEAN,1.5,0
1.025,49.0,3.7724867724867726,1.0687830687830688,462.0,2.4444444444444446,NEAR BAY,1.188,0
3.9643,52.0,4.797979797979798,1.02020202020202,467.0,2.3585858585858586,INLAND,1.888,1
3.0125,52.0,4.941780821917808,1.0650684931506849,660.0,2.26027397260274,NEAR OCEAN,1.844,1
2.6768,52.0,4.335078534031414,1.0994764397905759,718.0,1.8795811518324608,<1H OCEAN,1.823,1
2.026,50.0,3.700657894736842,1.0592105263157894,616.0,2.026315789473684,NEAR OCEAN,1.425,0
1.7348,43.0,3.9802371541501977,1.233201581027668,558.0,2.205533596837945,<1H OCEAN,1.375,0
0.9506,40.0,3.9,1.21875,423.0,2.64375,<1H OCEAN,1.875,1
1.775,40.0,2.6875,1.0653409090909092,700.0,1.9886363636363635,NEAR BAY,1.125,0
0.9218,21.0,2.045662100456621,1.0342465753424657,735.0,1.678082191780822,INLAND,1.719,0
1.5045,43.0,4.58968058968059,1.1203931203931203,1061.0,2.6068796068796067,INLAND,0.938,0
1.1108,41.0,4.473611111111111,1.1847222222222222,1959.0,2.720833333333333,INLAND,0.975,0
1.2475,52.0,4.075,1.14,1162.0,2.905,INLAND,1.042,0
1.6098,52.0,5.021459227467811,1.0085836909871244,701.0,3.0085836909871246,<1H OCEAN,0.875,0
1.4113,52.0,4.295454545454546,1.1045454545454545,576.0,2.618181818181818,INLAND,0.831,0
1.5057,52.0,4.77992277992278,1.111969111969112,622.0,2.4015444015444016,NEAR BAY,0.875,0
0.8172,52.0,6.102459016393443,1.3729508196721312,728.0,2.9836065573770494,NEAR BAY,0.853,0
1.2171,52.0,4.5625,1.1217105263157894,1074.0,3.5328947368421053,NEAR BAY,0.803,0
2.5625,2.0,2.7719298245614037,0.7543859649122807,94.0,1.6491228070175439,NEAR OCEAN,0.6,0
3.3929,52.0,5.994652406417113,1.1283422459893049,554.0,2.962566844919786,NEAR OCEAN,0.757,0
6.1183,49.0,5.869565217391305,1.2608695652173914,86.0,3.739130434782609,NEAR OCEAN,0.75,0
0.9011,50.0,6.229508196721311,1.5573770491803278,377.0,3.0901639344262297,INLAND,0.861,0
1.191,52.0,7.69811320754717,1.490566037735849,521.0,3.2767295597484276,NEAR OCEAN,0.761,0
2.5938,48.0,6.225563909774436,1.368421052631579,392.0,2.9473684210526314,NEAR OCEAN,0.735,0
1.1667,52.0,5.401069518716578,1.1176470588235294,604.0,3.229946524064171,<1H OCEAN,0.784,0
0.8056,48.0,4.382530120481928,1.0662650602409638,788.0,2.3734939759036147,NEAR BAY,0.844,0
2.6094,52.0,6.98639455782313,1.6598639455782314,492.0,3.3469387755102042,INLAND,0.813,0
1.8516,52.0,6.975609756097561,1.329268292682927,274.0,3.341463414634146,NEAR BAY,0.85,0
0.9802,46.0,4.584288052373159,1.0540098199672667,1823.0,2.983633387888707,INLAND,1.292,0
1.7719,26.0,6.047244094488189,1.1968503937007875,392.0,3.0866141732283463,INLAND,0.825,0
0.7286,46.0,3.375451263537906,1.0722021660649819,582.0,2.101083032490975,NEAR BAY,0.952,0
1.75,49.0,5.552631578947368,1.3421052631578947,560.0,3.6842105263157894,NEAR BAY,0.75,0
0.4999,46.0,1.7142857142857142,0.5714285714285714,18.0,2.5714285714285716,INLAND,0.675,0
2.483,20.0,6.2781954887218046,1.2105263157894737,290.0,2.180451127819549,INLAND,1.375,0
0.9241,17.0,2.8177676537585423,1.0523917995444192,762.0,1.7357630979498861,INLAND,1.775,0
2.4464,36.0,5.724950884086444,1.1041257367387034,1236.0,2.4282907662082516,INLAND,1.021,0
1.1111,19.0,5.830917874396135,1.173913043478261,721.0,3.4830917874396135,NEAR BAY,1.083,0
0.8026,23.0,5.369230769230769,1.1507692307692308,1054.0,3.243076923076923,NEAR OCEAN,1.125,0
2.0114,38.0,4.412903225806452,1.135483870967742,344.0,2.2193548387096773,NEAR BAY,1.313,0
1.5,17.0,3.1972318339100347,1.0,609.0,2.1072664359861593,INLAND,1.625,0
1.1667,52.0,3.75,1.0,183.0,3.267857142857143,<1H OCEAN,1.125,0
1.5208,52.0,3.9080459770114944,1.1149425287356323,200.0,2.2988505747126435,NEAR OCEAN,1.125,0
0.8075,52.0,2.490322580645161,1.0580645161290323,346.0,2.232258064516129,NEAR BAY,1.375,0
1.8088,35.0,5.609467455621302,,467.0,2.7633136094674557,NEAR OCEAN,1.188,0
2.4083,52.0,6.721739130434782,1.2434782608695651,377.0,3.2782608695652176,NEAR OCEAN,0.982,0
0.977,40.0,2.3157894736842106,1.186842105263158,582.0,1.5315789473684212,INLAND,1.188,0
0.76,10.0,2.6515151515151514,1.0545454545454545,546.0,1.6545454545454545,<1H OCEAN,1.625,0
0.9722,10.0,2.6923076923076925,1.0769230769230769,125.0,3.2051282051282053,INLAND,1.375,0
1.2434,52.0,2.929411764705882,0.9176470588235294,396.0,4.658823529411765,<1H OCEAN,5.00001,1
2.0938,16.0,2.74585635359116,1.0828729281767955,800.0,2.2099447513812156,NEAR BAY,1.625,0
0.8668,52.0,2.4431818181818183,0.9886363636363636,904.0,10.272727272727273,INLAND,1.375,0
0.75,52.0,2.823529411764706,0.9117647058823529,191.0,5.617647058823529,INLAND,1.625,0
2.6354,27.0,3.493377483443709,1.1490066225165563,718.0,2.377483443708609,<1H OCEAN,1.875,1
1.8477,39.0,3.6723768736616704,1.3340471092077089,1327.0,2.841541755888651,INLAND,1.792,0
2.0096,36.0,2.294016358157555,1.066293585880327,3469.0,1.493327593628928,<1H OCEAN,1.3,0
2.8345,31.0,3.8949152542372882,1.1279661016949152,2048.0,1.735593220338983,<1H OCEAN,1.838,1
2.0062,29.0,3.681318681318681,,202.0,2.21978021978022,NEAR OCEAN,1.25,0
1.2185,22.0,2.9456,1.016,2024.0,1.6192,NEAR BAY,1.7,0
2.6104,37.0,3.7071428571428573,1.1071428571428572,1838.0,1.8755102040816327,NEAR BAY,1.931,1
2.4912,29.0,3.7248,1.1312,2304.0,1.8432,NEAR BAY,2.578,1
3.2177,28.0,3.8784235136940546,1.070808283233133,2563.0,1.7120908483633934,<1H OCEAN,2.734,1
3.125,39.0,3.745614035087719,1.0614035087719298,389.0,1.706140350877193,NEAR OCEAN,2.375,1
2.5795,52.0,3.5154975530179446,1.1435562805872757,895.0,1.4600326264274062,<1H OCEAN,3.5,1
2.8406,34.0,3.281721632196758,1.0698714365567357,2689.0,1.5030743432084963,INLAND,3.357,1
4.9306,,6.184426229508197,0.9221311475409836,674.0,2.762295081967213,NEAR BAY,3.134,1
,52.0,4.442982456140351,1.0570175438596492,709.0,1.5548245614035088,NEAR OCEAN,2.685,1
3.1691,52.0,4.165876777251185,1.0900473933649288,686.0,1.6255924170616114,INLAND,2.594,1
3.9,52.0,4.848189415041783,1.0459610027855153,1444.0,2.011142061281337,NEAR BAY,2.757,1
3.9063,28.0,4.160847880299252,1.0660847880299251,1520.0,1.8952618453865338,NEAR BAY,2.25,1
5.0917,52.0,5.628458498023716,1.1422924901185771,550.0,2.1739130434782608,NEAR OCEAN,2.625,1
2.6429,32.0,3.7270058708414875,1.0743639921722115,1806.0,1.7671232876712328,NEAR BAY,2.185,1
,26.0,3.2530813475760065,0.9827444535743632,1749.0,1.4371405094494658,INLAND,2.55,1
3.1484,52.0,4.578034682080925,1.0770712909441233,939.0,1.8092485549132948,INLAND,2.241,1
3.4722,35.0,3.822274881516588,1.014218009478673,675.0,1.599526066350711,<1H OCEAN,2.431,1
3.1429,52.0,4.3951890034364265,0.9862542955326461,534.0,1.8350515463917525,INLAND,2.316,1
2.4234,28.0,3.0234798314268514,1.053582179409994,2558.0,1.5400361228175798,INLAND,2.185,1
3.0897,,4.040501446480231,1.0655737704918034,1786.0,1.7222757955641272,NEAR BAY,2.341,1
5.8596,50.0,6.742627345844504,1.0697050938337802,970.0,2.6005361930294906,INLAND,3.276,1
5.2868,47.0,6.546391752577319,0.9360824742268041,1098.0,2.263917525773196,<1H OCEAN,3.476,1
5.956,41.0,6.851063829787234,1.0797872340425532,794.0,2.1117021276595747,INLAND,3.661,1
4.9643,37.0,7.1063829787234045,1.148936170212766,98.0,2.0851063829787235,INLAND,3.35,1
6.3434,52.0,6.947890818858561,1.0198511166253101,1061.0,2.632754342431762,NEAR OCEAN,3.736,1
5.1773,52.0,6.358558558558559,1.0342342342342343,1177.0,2.120720720720721,NEAR BAY,3.895,1
7.2354,52.0,7.11716621253406,0.9945504087193461,901.0,2.455040871934605,NEAR BAY,3.911,1
5.457,28.0,5.5303347280334725,1.096234309623431,2031.0,2.1244769874476988,NEAR OCEAN,3.373,1
7.5,50.0,6.127348643006263,0.9874739039665971,1031.0,2.152400835073069,INLAND,2.952,1
6.0194,44.0,5.735343383584589,1.0,1358.0,2.274706867671692,INLAND,2.923,1
7.5544,40.0,7.631498470948012,1.0305810397553516,1616.0,2.470948012232416,NEAR BAY,4.115,1
6.0666,30.0,6.446064139941691,1.0087463556851313,844.0,2.4606413994169096,<1H OCEAN,3.115,1
7.0548,34.0,6.125,0.9879032258064516,1140.0,2.2983870967741935,NEAR OCEAN,3.259,1
11.6017,18.0,8.335051546391753,1.0824742268041236,533.0,2.747422680412371,NEAR BAY,3.926,1
7.4882,35.0,6.467268623024831,1.0383747178329572,1072.0,2.419864559819413,NEAR BAY,3.193,1
6.8976,34.0,6.6122715404699735,1.0287206266318538,1627.0,2.1240208877284594,NEAR OCEAN,3.333,1
8.2049,28.0,6.978947368421053,0.968421052631579,463.0,2.4368421052631577,INLAND,3.352,1
8.401,26.0,7.530805687203792,1.0568720379146919,542.0,2.5687203791469195,NEAR OCEAN,3.512,1
6.8538,29.0,6.657992565055762,1.0074349442379182,661.0,2.45724907063197,<1H OCEAN,3.689,1
,32.0,6.977186311787072,1.0038022813688212,635.0,2.414448669201521,INLAND,3.659,1
7.0175,37.0,6.982954545454546,1.0284090909090908,420.0,2.3863636363636362,NEAR OCEAN,3.667,1
6.3302,39.0,7.54,1.068,1265.0,2.53,INLAND,3.628,1
6.3624,30.0,5.615384615384615,0.7307692307692307,126.0,2.423076923076923,INLAND,4.833,1
7.0549,52.0,6.785714285714286,0.9514285714285714,813.0,2.322857142857143,NEAR OCEAN,3.314,1
6.7851,45.0,6.957746478873239,1.0234741784037558,1067.0,2.504694835680751,<1H OCEAN,3.235,1
2.8929,50.0,5.132246376811594,1.0960144927536233,1260.0,2.282608695652174,NEAR OCEAN,2.167,1
3.0812,38.0,4.628336755646817,1.0985626283367556,951.0,1.9527720739219712,NEAR OCEAN,2.331,1
5.2402,52.0,6.200892857142857,0.9464285714285714,510.0,2.2767857142857144,NEAR BAY,2.964,1
6.5217,52.0,6.39935064935065,1.0876623376623376,765.0,2.4837662337662336,<1H OCEAN,2.737,1
3.2632,52.0,4.745652173913044,1.0108695652173914,1129.0,2.4543478260869565,<1H OCEAN,2.277,1
3.0298,52.0,5.183673469387755,1.0521541950113378,1073.0,2.433106575963719,NEAR BAY,1.996,1
4.5428,52.0,5.283495145631068,1.050485436893204,1185.0,2.3009708737864076,NEAR OCEAN,2.398,1
4.072,52.0,5.952941176470588,0.9970588235294118,756.0,2.223529411764706,INLAND,2.701,1
5.3509,52.0,5.65067178502879,1.0287907869481765,1034.0,1.9846449136276392,NEAR BAY,3.021,1
3.1603,52.0,4.429193899782135,1.0588235294117647,787.0,1.7145969498910676,NEAR BAY,2.695,1
4.7708,52.0,6.727699530516432,1.0751173708920188,612.0,2.8732394366197185,<1H OCEAN,3.147,1
8.1564,52.0,7.7026315789473685,1.0578947368421052,1021.0,2.6868421052631577,INLAND,3.901,1
8.8793,52.0,8.972868217054264,1.1317829457364341,861.0,3.3372093023255816,NEAR BAY,4.103,1
6.8591,52.0,7.599388379204893,0.9571865443425076,953.0,2.914373088685015,<1H OCEAN,3.524,1
6.0302,52.0,5.8203125,0.9296875,634.0,2.4765625,INLAND,2.873,1
7.508,52.0,7.994318181818182,1.0369318181818181,878.0,2.4943181818181817,NEAR BAY,3.487,1
2.7477,52.0,4.333333333333333,1.1387163561076605,918.0,1.9006211180124224,INLAND,2.438,1
2.1944,52.0,5.074285714285714,0.96,360.0,2.057142857142857,NEAR OCEAN,2.115,1
3.0149,52.0,4.276639344262295,1.0450819672131149,1197.0,2.4528688524590163,<1H OCEAN,2.184,1
3.675,52.0,4.851351351351352,,1048.0,2.023166023166023,<1H OCEAN,2.699,1
3.225,46.0,4.326639892904953,1.1178045515394912,1373.0,1.8380187416331994,<1H OCEAN,2.188,1
2.9345,,4.059113300492611,1.0492610837438423,1715.0,1.6896551724137931,NEAR BAY,2.25,1
2.1429,43.0,3.2742382271468142,1.0969529085872576,1359.0,1.8822714681440442,INLAND,2.5,1
1.6121,41.0,3.5617433414043584,1.1355932203389831,1062.0,2.5714285714285716,NEAR OCEAN,1.714,0
1.3929,,3.1927554980595083,1.1177231565329884,1335.0,1.7270375161707632,NEAR BAY,1.938,1
2.3173,27.0,3.804195804195804,1.1468531468531469,1171.0,2.7296037296037294,NEAR BAY,1.25,0
1.7772,45.0,3.882608695652174,1.1434782608695653,1475.0,3.2065217391304346,<1H OCEAN,0.975,0
2.6458,50.0,3.2091836734693877,0.9591836734693877,742.0,3.7857142857142856,<1H OCEAN,1.25,0
2.181,52.0,3.6887052341597797,1.0771349862258952,1086.0,2.9917355371900825,NEAR BAY,1.388,0
2.2303,36.0,3.0902394106813995,,1645.0,3.029465930018416,<1H OCEAN,1.167,0
1.6504,43.0,3.639751552795031,1.0046583850931676,1710.0,2.6552795031055902,NEAR BAY,1.518,0
2.2697,52.0,4.368421052631579,1.0,731.0,3.206140350877193,<1H OCEAN,1.27,0
2.1563,52.0,4.585014409221902,1.07492795389049,1118.0,3.2219020172910664,NEAR BAY,1.286,0
2.1348,52.0,4.7343283582089555,1.1880597014925374,1006.0,3.002985074626866,<1H OCEAN,1.406,0
2.6292,47.0,3.693140794223827,1.0613718411552346,1213.0,2.1895306859205776,NEAR OCEAN,1.827,1
2.3833,52.0,4.638132295719845,1.1245136186770428,772.0,3.0038910505836576,INLAND,1.469,0
2.957,52.0,4.496259351620948,1.0473815461346634,1321.0,3.29426433915212,NEAR BAY,1.228,0
2.5238,49.0,4.192023633677991,1.106351550960118,1487.0,2.1964549483013296,NEAR OCEAN,1.693,0
1.9375,52.0,4.209677419354839,0.989247311827957,488.0,2.6236559139784945,NEAR BAY,1.266,0
1.9028,51.0,4.0561224489795915,1.0561224489795917,949.0,2.420918367346939,INLAND,1.279,0
2.25,50.0,4.20722891566265,1.1566265060240963,1149.0,2.7686746987951807,INLAND,1.235,0
2.3929,52.0,4.4714285714285715,1.0678571428571428,844.0,3.0142857142857142,NEAR OCEAN,1.119,0
2.1917,43.0,4.844029244516653,1.091795288383428,4367.0,3.5475223395613322,<1H OCEAN,1.128,0
2.9357,52.0,4.327669902912621,0.9587378640776699,1659.0,4.026699029126213,INLAND,1.079,0
1.8854,30.0,3.7984790874524714,1.0038022813688212,1011.0,3.844106463878327,<1H OCEAN,1.375,0
2.1638,39.0,3.776349614395887,1.1079691516709511,1464.0,3.763496143958869,<1H OCEAN,1.055,0
2.125,47.0,4.528052805280528,1.3036303630363035,1237.0,4.082508250825082,NEAR BAY,0.955,0
3.375,52.0,4.011904761904762,1.0714285714285714,647.0,3.8511904761904763,NEAR BAY,1.161,0
2.2542,43.0,4.554621848739496,1.0532212885154062,1284.0,3.596638655462185,INLAND,1.122,0
2.1,51.0,3.1818181818181817,0.7818181818181819,228.0,4.1454545454545455,INLAND,0.75,0
1.6,39.0,3.747967479674797,1.048780487804878,381.0,3.097560975609756,<1H OCEAN,1.125,0
